;;FR Base FR Base;FR Base FR Base;;;;;;;;;;;;;;;;
12-12-2025;evt réelle;20;21 187;;;;;;;;;;;;;;;;
13-12-2025;estimée;16;21 207;;;;;;;;;;;;;;;;
14-12-2025;evt réelle;17;21 223;;;;;;;;;;;;;;;;
15-12-2025;estimée;16;21 240;;;;;;;;;;;;;;;;
16-12-2025;evt réelle;13;21 256;;;;;;;;;;;;;;;;
17-12-2025;evt réelle;14;21 269;;;;;;;;;;;;;;;;
18-12-2025;evt réelle;16;21 283;;;;;;;;;;;;;;;;
19-12-2025;estimée;14;21 299;;;;;;;;;;;;;;;;
20-12-2025;estimée;15;21 313;;;;;;;;;;;;;;;;
21-12-2025;evt réelle;15;21 328;;;;;;;;;;;;;;;;
22-12-2025;evt réelle;17;21 343;;;;;;;;;;;;;;;;
23-12-2025;evt réelle;18;21 360;;;;;;;;;;;;;;;;
24-12-2025;evt réelle;16;21 378;;;;;;;;;;;;;;;;
25-12-2025;evt réelle;16;21 394;;;;;;;;;;;;;;;;
26-12-2025;evt réelle;15;21 410;;;;;;;;;;;;;;;;
27-12-2025;evt réelle;13;21 425;;;;;;;;;;;;;;;;
28-12-2025;evt réelle;15;21 438;;;;;;;;;;;;;;;;
29-12-2025;estimée;13;21 453;;;;;;;;;;;;;;;;
30-12-2025;estimée;14;21 466;;;;;;;;;;;;;;;;
31-12-2025;estimée;14;21 480;;;;;;;;;;;;;;;;
01-01-2026;evt réelle;20;21 494;;;;;;;;;;;;;;;;
02-01-2026;evt réelle;12;21 514;;;;;;;;;;;;;;;;
03-01-2026;evt réelle;13;21 526;;;;;;;;;;;;;;;;
04-01-2026;evt réelle;15;21 539;;;;;;;;;;;;;;;;
05-01-2026;evt réelle;16;21 554;;;;;;;;;;;;;;;;
06-01-2026;evt réelle;14;21 570;;;;;;;;;;;;;;;;
07-01-2026;evt réelle;17;21 584;;;;;;;;;;;;;;;;
08-01-2026;evt réelle;14;21 601;;;;;;;;;;;;;;;;
09-01-2026;estimée;14;21 615;;;;;;;;;;;;;;;;
10-01-2026;estimée;19;21 629;;;;;;;;;;;;;;;;
11-01-2026;estimée;18;21 648;;;;;;;;;;;;;;;;
12-01-2026;estimée;14;21 666;;;;;;;;;;;;;;;;
13-01-2026;evt réelle;14;21 680;;;;;;;;;;;;;;;;
14-01-2026;evt réelle;16;21 694;;;;;;;;;;;;;;;;
15-01-2026;evt réelle;14;21 710;;;;;;;;;;;;;;;;
16-01-2026;evt réelle;19;21 724;;;;;;;;;;;;;;;;
17-01-2026;estimée;19;21 743;;;;;;;;;;;;;;;;
18-01-2026;evt réelle;20;21 762;;;;;;;;;;;;;;;;
19-01-2026;evt réelle;15;21 782;;;;;;;;;;;;;;;;
20-01-2026;estimée;11;21 797;;;;;;;;;;;;;;;;
21-01-2026;estimée;15;21 808;;;;;;;;;;;;;;;;
22-01-2026;evt réelle;18;21 823;;;;;;;;;;;;;;;;
23-01-2026;estimée;18;21 841;;;;;;;;;;;;;;;;
24-01-2026;evt réelle;19;21 859;;;;;;;;;;;;;;;;
25-01-2026;evt réelle;14;21 878;;;;;;;;;;;;;;;;
26-01-2026;evt réelle;15;21 892;;;;;;;;;;;;;;;;
27-01-2026;estimée;12;21 907;;;;;;;;;;;;;;;;
28-01-2026;evt réelle;17;21 919;;;;;;;;;;;;;;;;
29-01-2026;evt réelle;18;21 936;;;;;;;;;;;;;;;;
30-01-2026;estimée;20;21 954;;;;;;;;;;;;;;;;
31-01-2026;evt réelle;18;21 974;;;;;;;;;;;;;;;;
01-02-2026;evt réelle;13;21 992;;;;;;;;;;;;;;;;
02-02-2026;evt réelle;14;22 005;;;;;;;;;;;;;;;;
03-02-2026;evt réelle;14;22 019;;;;;;;;;;;;;;;;
04-02-2026;estimée;16;22 033;;;;;;;;;;;;;;;;
05-02-2026;evt réelle;13;22 049;;;;;;;;;;;;;;;;
06-02-2026;estimée;16;22 062;;;;;;;;;;;;;;;;
07-02-2026;evt réelle;17;22 078;;;;;;;;;;;;;;;;
08-02-2026;estimée;17;22 095;;;;;;;;;;;;;;;;
09-02-2026;evt réelle;13;22 112;;;;;;;;;;;;;;;;
10-02-2026;evt réelle;16;22 125;;;;;;;;;;;;;;;;
11-02-2026;estimée;17;22 141;;;;;;;;;;;;;;;;
12-02-2026;evt réelle;15;22 158;;;;;;;;;;;;;;;;
13-02-2026;evt réelle;12;22 173;;;;;;;;;;;;;;;;
14-02-2026;evt réelle;17;22 185;;;;;;;;;;;;;;;;
15-02-2026;estimée;14;22 202;;;;;;;;;;;;;;;;
16-02-2026;estimée;14;22 216;;;;;;;;;;;;;;;;
17-02-2026;evt réelle;10;22 230;;;;;;;;;;;;;;;;
18-02-2026;evt réelle;13;22 240;;;;;;;;;;;;;;;;
19-02-2026;estimée;14;22 253;;;;;;;;;;;;;;;;
20-02-2026;estimée;14;22 267;;;;;;;;;;;;;;;;
21-02-2026;evt réelle;17;22 281;;;;;;;;;;;;;;;;
22-02-2026;evt réelle;15;22 298;;;;;;;;;;;;;;;;
23-02-2026;evt réelle;13;22 313;;;;;;;;;;;;;;;;
24-02-2026;evt réelle;17;22 326;;;;;;;;;;;;;;;;
25-02-2026;evt réelle;13;22 343;;;;;;;;;;;;;;;;
26-02-2026;evt réelle;11;22 356;;;;;;;;;;;;;;;;
27-02-2026;evt réelle;18;22 367;;;;;;;;;;;;;;;;
28-02-2026;evt réelle;12;22 385;;;;;;;;;;;;;;;;
01-03-2026;estimée;15;22 397;;;;;;;;;;;;;;;;
02-03-2026;evt réelle;15;22 412;;;;;;;;;;;;;;;;
03-03-2026;evt réelle;16;22 427;;;;;;;;;;;;;;;;
04-03-2026;evt réelle;15;22 443;;;;;;;;;;;;;;;;
05-03-2026;evt réelle;12;22 458;;;;;;;;;;;;;;;;
06-03-2026;evt réelle;13;22 470;;;;;;;;;;;;;;;;
07-03-2026;estimée;18;22 483;;;;;;;;;;;;;;;;
08-03-2026;evt réelle;14;22 501;;;;;;;;;;;;;;;;
09-03-2026;estimée;18;22 515;;;;;;;;;;;;;;;;
10-03-2026;estimée;11;22 533;;;;;;;;;;;;;;;;
11-03-2026;evt réelle;15;22 544;;;;;;;;;;;;;;;;
12-03-2026;evt réelle;11;22 559;;;;;;;;;;;;;;;;
13-03-2026;evt réelle;18;22 570;;;;;;;;;;;;;;;;
14-03-2026;evt réelle;12;22 588;;;;;;;;;;;;;;;;
15-03-2026;evt réelle;13;22 600;;;;;;;;;;;;;;;;
16-03-2026;evt réelle;13;22 613;;;;;;;;;;;;;;;;
17-03-2026;estimée;17;22 626;;;;;;;;;;;;;;;;
18-03-2026;estimée;10;22 643;;;;;;;;;;;;;;;;
19-03-2026;evt réelle;12;22 653;;;;;;;;;;;;;;;;
20-03-2026;estimée;13;22 665;;;;;;;;;;;;;;;;
21-03-2026;estimée;14;22 678;;;;;;;;;;;;;;;;
22-03-2026;estimée;14;22 692;;;;;;;;;;;;;;;;
23-03-2026;evt réelle;15;22 706;;;;;;;;;;;;;;;;
24-03-2026;evt réelle;12;22 721;;;;;;;;;;;;;;;;
25-03-2026;evt réelle;12;22 733;;;;;;;;;;;;;;;;
26-03-2026;evt réelle;13;22 745;;;;;;;;;;;;;;;;
27-03-2026;estimée;11;22 758;;;;;;;;;;;;;;;;
28-03-2026;evt réelle;12;22 769;;;;;;;;;;;;;;;;
29-03-2026;evt réelle;15;22 781;;;;;;;;;;;;;;;;
30-03-2026;evt réelle;7;22 796;;;;;;;;;;;;;;;;
31-03-2026;evt réelle;14;22 803;;;;;;;;;;;;;;;;
01-04-2026;evt réelle;9;22 817;;;;;;;;;;;;;;;;
02-04-2026;evt réelle;11;22 826;;;;;;;;;;;;;;;;
03-04-2026;evt réelle;12;22 837;;;;;;;;;;;;;;;;
04-04-2026;estimée;13;22 849;;;;;;;;;;;;;;;;
05-04-2026;evt réelle;10;22 862;;;;;;;;;;;;;;;;
06-04-2026;evt réelle;12;22 872;;;;;;;;;;;;;;;;
07-04-2026;evt réelle;11;22 884;;;;;;;;;;;;;;;;
08-04-2026;evt réelle;10;22 895;;;;;;;;;;;;;;;;
09-04-2026;evt réelle;13;22 905;;;;;;;;;;;;;;;;
10-04-2026;evt réelle;13;22 918;;;;;;;;;;;;;;;;
11-04-2026;evt réelle;12;22 931;;;;;;;;;;;;;;;;
12-04-2026;evt réelle;9;22 943;;;;;;;;;;;;;;;;
13-04-2026;evt réelle;12;22 952;;;;;;;;;;;;;;;;
14-04-2026;evt réelle;9;22 964;;;;;;;;;;;;;;;;
15-04-2026;estimée;9;22 973;;;;;;;;;;;;;;;;
16-04-2026;estimée;10;22 982;;;;;;;;;;;;;;;;
17-04-2026;evt réelle;13;22 992;;;;;;;;;;;;;;;;
18-04-2026;evt réelle;5;23 005;;;;;;;;;;;;;;;;
19-04-2026;evt réelle;11;23 010;;;;;;;;;;;;;;;;
20-04-2026;evt réelle;7;23 021;;;;;;;;;;;;;;;;
21-04-2026;evt réelle;11;23 028;;;;;;;;;;;;;;;;
22-04-2026;evt réelle;11;23 039;;;;;;;;;;;;;;;;
23-04-2026;evt réelle;12;23 050;;;;;;;;;;;;;;;;
24-04-2026;evt réelle;11;23 062;;;;;;;;;;;;;;;;
25-04-2026;evt réelle;11;23 073;;;;;;;;;;;;;;;;
26-04-2026;evt réelle;12;23 084;;;;;;;;;;;;;;;;
27-04-2026;evt réelle;7;23 096;;;;;;;;;;;;;;;;
28-04-2026;evt réelle;9;23 103;;;;;;;;;;;;;;;;
29-04-2026;evt réelle;6;23 112;;;;;;;;;;;;;;;;
30-04-2026;evt réelle;7;23 118;;;;;;;;;;;;;;;;
01-05-2026;evt réelle;6;23 125;;;;;;;;;;;;;;;;
02-05-2026;evt réelle;7;23 131;;;;;;;;;;;;;;;;
03-05-2026;evt réelle;6;23 138;;;;;;;;;;;;;;;;
04-05-2026;evt réelle;9;23 144;;;;;;;;;;;;;;;;
05-05-2026;evt réelle;5;23 153;;;;;;;;;;;;;;;;
06-05-2026;evt réelle;8;23 158;;;;;;;;;;;;;;;;
07-05-2026;evt réelle;11;23 166;;;;;;;;;;;;;;;;
08-05-2026;evt réelle;10;23 177;;;;;;;;;;;;;;;;
09-05-2026;evt réelle;12;23 187;;;;;;;;;;;;;;;;
10-05-2026;evt réelle;12;23 199;;;;;;;;;;;;;;;;
11-05-2026;evt réelle;8;23 211;;;;;;;;;;;;;;;;
12-05-2026;evt réelle;6;23 219;;;;;;;;;;;;;;;;
13-05-2026;estimée;10;23 225;;;;;;;;;;;;;;;;
14-05-2026;evt réelle;10;23 235;;;;;;;;;;;;;;;;
15-05-2026;evt réelle;6;23 245;;;;;;;;;;;;;;;;
16-05-2026;evt réelle;8;23 251;;;;;;;;;;;;;;;;
17-05-2026;estimée;8;23 259;;;;;;;;;;;;;;;;
18-05-2026;evt réelle;7;23 267;;;;;;;;;;;;;;;;
19-05-2026;evt réelle;8;23 274;;;;;;;;;;;;;;;;
20-05-2026;evt réelle;5;23 282;;;;;;;;;;;;;;;;
21-05-2026;evt réelle;9;23 287;;;;;;;;;;;;;;;;
22-05-2026;estimée;5;23 296;;;;;;;;;;;;;;;;
23-05-2026;evt réelle;6;23 301;;;;;;;;;;;;;;;;
24-05-2026;estimée;7;23 307;;;;;;;;;;;;;;;;
25-05-2026;evt réelle;6;23 314;;;;;;;;;;;;;;;;
26-05-2026;estimée;7;23 320;;;;;;;;;;;;;;;;
27-05-2026;evt réelle;2;23 327;;;;;;;;;;;;;;;;
28-05-2026;estimée;9;23 329;;;;;;;;;;;;;;;;
29-05-2026;evt réelle;5;23 338;;;;;;;;;;;;;;;;
30-05-2026;estimée;10;23 343;;;;;;;;;;;;;;;;
31-05-2026;evt réelle;6;23 353;;;;;;;;;;;;;;;;
01-06-2026;evt réelle;6;23 359;;;;;;;;;;;;;;;;
02-06-2026;estimée;2;23 365;;;;;;;;;;;;;;;;
03-06-2026;evt réelle;9;23 367;;;;;;;;;;;;;;;;
04-06-2026;evt réelle;10;23 376;;;;;;;;;;;;;;;;
05-06-2026;evt réelle;5;23 386;;;;;;;;;;;;;;;;
06-06-2026;estimée;4;23 391;;;;;;;;;;;;;;;;
07-06-2026;evt réelle;8;23 395;;;;;;;;;;;;;;;;
08-06-2026;evt réelle;6;23 403;;;;;;;;;;;;;;;;
09-06-2026;evt réelle;5;23 409;;;;;;;;;;;;;;;;
10-06-2026;evt réelle;4;23 414;;;;;;;;;;;;;;;;
11-06-2026;evt réelle;5;23 418;;;;;;;;;;;;;;;;
12-06-2026;evt réelle;6;23 423;;;;;;;;;;;;;;;;
13-06-2026;evt réelle;8;23 429;;;;;;;;;;;;;;;;
14-06-2026;estimée;7;23 437;;;;;;;;;;;;;;;;
15-06-2026;evt réelle;6;23 444;;;;;;;;;;;;;;;;
16-06-2026;estimée;4;23 450;;;;;;;;;;;;;;;;
17-06-2026;evt réelle;7;23 454;;;;;;;;;;;;;;;;
18-06-2026;evt réelle;1;23 461;;;;;;;;;;;;;;;;
19-06-2026;evt réelle;5;23 462;;;;;;;;;;;;;;;;
20-06-2026;evt réelle;5;23 467;;;;;;;;;;;;;;;;
21-06-2026;estimée;4;23 472;;;;;;;;;;;;;;;;
22-06-2026;evt réelle;6;23 476;;;;;;;;;;;;;;;;
23-06-2026;estimée;5;23 482;;;;;;;;;;;;;;;;
24-06-2026;evt réelle;8;23 487;;;;;;;;;;;;;;;;
25-06-2026;evt réelle;5;23 495;;;;;;;;;;;;;;;;
26-06-2026;evt réelle;8;23 500;;;;;;;;;;;;;;;;
27-06-2026;evt réelle;11;23 508;;;;;;;;;;;;;;;;
28-06-2026;estimée;2;23 519;;;;;;;;;;;;;;;;
29-06-2026;evt réelle;6;23 521;;;;;;;;;;;;;;;;
30-06-2026;evt réelle;3;23 527;;;;;;;;;;;;;;;;
01-07-2026;evt réelle;6;23 530;;;;;;;;;;;;;;;;
02-07-2026;evt réelle;3;23 536;;;;;;;;;;;;;;;;
03-07-2026;evt réelle;7;23 539;;;;;;;;;;;;;;;;
04-07-2026;estimée;9;23 546;;;;;;;;;;;;;;;;
05-07-2026;estimée;5;23 555;;;;;;;;;;;;;;;;
06-07-2026;evt réelle;4;23 560;;;;;;;;;;;;;;;;
07-07-2026;estimée;1;23 564;;;;;;;;;;;;;;;;
08-07-2026;evt réelle;5;23 565;;;;;;;;;;;;;;;;
09-07-2026;estimée;8;23 570;;;;;;;;;;;;;;;;
10-07-2026;estimée;6;23 578;;;;;;;;;;;;;;;;
11-07-2026;estimée;6;23 584;;;;;;;;;;;;;;;;
12-07-2026;estimée;6;23 590;;;;;;;;;;;;;;;;
13-07-2026;evt réelle;4;23 596;;;;;;;;;;;;;;;;
14-07-2026;evt réelle;1;23 600;;;;;;;;;;;;;;;;
15-07-2026;evt réelle;2;23 601;;;;;;;;;;;;;;;;
16-07-2026;evt réelle;6;23 603;;;;;;;;;;;;;;;;
17-07-2026;evt réelle;;23 609;;;;;;;;;;;;;;;;
